requester,group_id,object_id,request_id,ra,dec,epoch,exposure_time,observation_choice,observation_type,comments
fil,999,SDSS_J1152+0248,-99,11:52:19.99,+02:48:14.42,2000,900,g,variable,0.09986
fil,999,NLTT_11748     ,-99,03:45:16.83,+17:48:08.70,2000,900,g,variable,0.2350606
fil,999,GALEX_J171708.5+675712    ,-99,17:17:08.86,+67:57:11.38,2000,900,g,variable,0.246137
fil,999,SDSS_J065133.33+284423.37 ,-99,06:51:33.34,+28:44:23.46,2000,900,g,variable,0.00885655721
fil,999,CSS_41177      ,-99,10:05:59.11,+22:49:32.31,2000,900,g,variable,0.11601549
fil,999,SDSS_J082239.546+304857.19,-99,08:22:39.54,+30:48:57.25,2000,900,g,variable,0.02797
fil,999,J075141.18−014120.9       ,-99,07:51:41.18,-01:41:20.96,2000,900,g,variable,0.0800126
fil,999,ZTF_J1539+5027 ,-99,15:39:32.16,+50:27:38.74,2000,900,g,variable,0.0047986111
fil,999,ZTF_J2243+5242 ,-99,22:43:42.97,+52:42:05.98,2000,900,g,variable,0.00611035664
fil,999,ZTF_J0538+1953 ,-99,05:38:02.73,+19:53:02.90,2000,900,g,variable,0.0100277778
fil,999,ZTF_J1905+3134 ,-99,19:05:11.34,+31:34:32.38,2000,900,g,variable,0.0119444444
fil,999,PTF_J0533+0209 ,-99,05:33:32.06,+02:09:11.52,2000,900,g,variable,0.0142847222
fil,999,ZTF_J2029+1534 ,-99,20:29:22.31,+15:34:30.97,2000,900,g,variable,0.0144930556
fil,999,ZTF_J0722-1839 ,-99,07:22:21.49,-17:20:29.44,2000,900,g,variable,0.0164583333
fil,999,ZTF_J1749+0924 ,-99,17:49:55.30,+09:24:32.40,2000,900,g,variable,0.0183541667
fil,999,ZTF_J2228+4949 ,-99,22:28:27.07,+49:49:16.43,2000,900,g,variable,0.0198333333
fil,999,ZTF_J1946+3203 ,-99,19:46:03.89,+32:03:13.14,2000,900,g,variable,0.0233055556
fil,999,ZTF_J0643+0318 ,-99,06:43:36.77,+03:18:27.43,2000,900,g,variable,0.0256319444
fil,999,ZTF_J0640+1738 ,-99,06:40:18.69,+17:38:45.02,2000,900,g,variable,0.0258819444
fil,999,ZTF_J2130+4420 ,-99,21:30:56.71,+44:20:46.43,2000,900,g,variable,0.0273194444
fil,999,ZTF_J1901+5309 ,-99,19:01:25.42,+53:09:29.27,2000,900,g,variable,0.0281944444
fil,999,ZTF_J2320+3750 ,-99,23:20:20.43,+37:50:30.84,2000,900,g,variable,0.0383680556
fil,999,ZTF_J2055+4651 ,-99,20:55:15.98,+46:51:06.44,2000,900,g,variable,0.0391319444
cal,999,STD-HR9087     ,-99,00:01:49.42,-03:01:39.00,2000.0,20,IFU,standard,Standard V=5.12 type=B7III
